dispersion;ouverture_0;ouverture_5;ouverture_10;ouverture_15;ouverture_20;ouverture_25;ouverture_30;ouverture_35;ouverture_40;ouverture_45;ouverture_50;ouverture_55;ouverture_60;ouverture_65;ouverture_70;ouverture_75;ouverture_80;ouverture_85;ouverture_90;ouverture_95;ouverture_100
0;0;9;18;27;36;45;54;63;72;81;90;99;108;117;126;135;144;153;162;171;180
0,1;0;7,4;14,8;22,2;29,8;37,4;45,3;53,3;61,5;69,9;78,6;87,5;96,8;106,3;116,2;126,3;136,7;147,3;158,1;169;180
0,2;0;6;12,1;18,2;24,4;30,9;37,5;44,4;51,7;59,3;67,4;75,9;85,1;94,8;105,2;116,3;128;140,4;153,3;166,5;180
0,3;0;4,9;9,7;14,7;19,8;25,1;30,7;36,5;42,7;49,4;56,6;64,5;73,1;82,6;93,2;104,9;117,8;131,9;147,2;163,4;180
0,4;0;3,9;7,8;11,7;15,9;20,1;24,6;29,4;34,6;40,2;46,4;53,3;61,1;69,9;80,1;92;105,7;121,5;139,4;159,2;180
0,5;0;3;6;9,2;12,4;15,7;19,3;23,1;27,2;31,8;36,9;42,6;49,3;57,1;66,4;77,6;91,5;108,5;129,2;153,4;180
0,6;0;2,3;4,5;6,9;9,3;11,8;14,5;17,4;20,6;24,1;28,1;32,6;38;44,4;52,3;62,2;75,2;92,3;115,3;145,1;180
0,7;0;1,6;3,2;4,9;6,6;8,4;10,3;12,3;14,6;17,1;20;23,3;27,3;32,1;38,2;46,2;57;72,6;96,2;131,9;180
0,8;0;1;2;3,1;4,1;5,3;6,5;7,8;9,2;10,8;12,7;14,8;17,4;20,6;24,6;30;37,8;49,7;70,1;109,4;180
0,9;0;0,5;1;1,4;2;2,5;3,1;3,7;4,4;5,1;6;7,1;8,3;9,8;11,8;14,5;18,4;24,7;36,8;67,5;180
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
